method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict_proba,onxpython_compiled,,100,1,True,,100,1,4.789186641573906e-05,8.513918146491051e-05,4.796963185071945e-05,7.162801921367645e-05,5.025588441640139e-05,4.789186641573906e-05,6.12521423342075e-05,100,4.8425979912281036e-05,0,4.0,12.0,623.0,
predict_proba,onxonnxruntime1,,100,1,True,,100,1,5.928706377744675e-05,0.0003980398178100586,6.0218386352062225e-05,8.992571383714676e-05,7.230231538414956e-05,5.928706377744675e-05,0.00013839281359553912,100,6.789900362491608e-05,0,4.0,12.0,623.0,
predict,py,,100,1,True,,100,1,1.0363757610321045e-05,2.0766165107488632e-05,1.0400079190731049e-05,1.2503936886787415e-05,1.0993625037372113e-05,1.0363757610321045e-05,1.3484878145960923e-05,100,1.0724645107984543e-05,0,,,,
predict_proba,py,,100,1,True,,100,1,3.803521394729614e-05,7.266271859407425e-05,3.809528425335884e-05,6.190873682498932e-05,4.024679306894541e-05,3.803521394729614e-05,5.038786865327874e-05,100,3.912835381925106e-05,0,,,,
predict,skl,1.0,1000,1,True,,100,1,6.117904558777809e-05,0.00011861976236104965,6.128288805484772e-05,6.945990025997162e-05,6.29166653379798e-05,6.117904558777809e-05,7.467080468964901e-05,100,6.16281758993864e-05,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,onxpython_compiled,,1000,1,True,,100,1,0.0001070280559360981,0.0001500789076089859,0.0001082858070731163,0.00011469516903162003,0.00011041584424674511,0.0001070280559360981,0.00011892703874315584,100,0.0001094320323318243,1,4.0,12.0,623.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict,onxonnxruntime1,,1000,1,True,,100,1,0.0003689290024340153,0.0005193781107664108,0.0003703129477798939,0.00042783375829458237,0.00038141680415719746,0.0003689290024340153,0.0004156610913914381,100,0.0003763558343052864,1,4.0,12.0,623.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,skl,1.0,1000,1,True,,100,1,9.818002581596375e-05,0.00016502384096384048,9.879888966679573e-05,0.00012978119775652885,0.00010899457149207592,9.818002581596375e-05,0.00013108445511200638,100,0.0001029574777930975,1,,,,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,onxpython_compiled,,1000,1,True,,100,1,0.00010639382526278496,0.00013879919424653053,0.00010801013559103012,0.00013755587860941887,0.0001164810312911868,0.00010639382526278496,0.00013513802143810282,100,0.00011083576828241348,1,4.0,12.0,623.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
predict_proba,onxonnxruntime1,,1000,1,True,,100,1,0.00034679705277085304,0.0005014361813664436,0.0003649280406534672,0.0004948149435222149,0.000431047473102808,0.0003722038012694299,0.0004898911449361861,100,0.0004289303906261921,1,4.0,12.0,623.0,ERROR: Dim (1000 )-(1000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(15  'predict')'.
