lib,N,dim,nbnode,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c
ort,1000,1,3,20,2,7.741991430521011e-05,9.548338130116463e-05,7.843086495995522e-05,7.935520261526108e-05,7.951282896101475e-05,7.741991430521011e-05,8.676127475706908e-05,20,7.866276428103447e-05,0
npy,1000,1,3,20,2,4.052417352795601e-05,4.849303513765335e-05,4.101777449250221e-05,4.227505996823311e-05,4.188618622720241e-05,4.052417352795601e-05,4.5031321532277857e-05,20,4.160497337579727e-05,0
ort,10000,1,3,20,2,0.0005189450457692146,0.0005972138606011868,0.0005241828039288521,0.0005494938232004642,0.0005413432372733951,0.0005189450457692146,0.0005758018700902044,20,0.0005394567269831896,0
npy,10000,1,3,20,2,0.0001356992870569229,0.00015957513824105263,0.00013588182628154755,0.00013969512656331062,0.00013797474093735218,0.0001356992870569229,0.00014806597934632174,20,0.00013631838373839855,0
ort,1,1,5,20,2,2.66428105533123e-05,5.567818880081177e-05,2.6863999664783478e-05,3.690924495458603e-05,2.994718961417675e-05,2.66428105533123e-05,4.4231306384518495e-05,20,2.7028610929846764e-05,0
npy,1,1,5,20,2,4.531024023890495e-05,5.366979166865349e-05,4.5460183173418045e-05,4.67570498585701e-05,4.6251341700553894e-05,4.531024023890495e-05,4.9722497703980855e-05,20,4.5761000365018845e-05,0
ort,10,1,5,20,2,2.6956666260957718e-05,4.515890032052994e-05,2.7033966034650803e-05,2.7562957257032394e-05,2.8161169029772282e-05,2.6956666260957718e-05,3.584010002254623e-05,20,2.7187401428818703e-05,0
npy,10,1,5,20,2,4.0075741708278656e-05,4.683109000325203e-05,4.0168873965740204e-05,4.155328497290611e-05,4.0897284634411335e-05,4.0075741708278656e-05,4.373526605125734e-05,20,4.043756052851677e-05,0
ort,100,1,5,20,2,3.5040080547332764e-05,5.3415074944496155e-05,3.518909215927124e-05,3.554578870534897e-05,3.624996170401573e-05,3.5040080547332764e-05,4.399765050181084e-05,20,3.527151420712471e-05,0
npy,100,1,5,20,2,4.109088331460953e-05,4.816194996237755e-05,4.1153281927108765e-05,4.1862018406391144e-05,4.1692820377647874e-05,4.109088331460953e-05,4.464426729452353e-05,20,4.1291117668151855e-05,0
ort,1000,1,5,20,2,0.00011166883632540703,0.00013787811622023582,0.00011245720088481903,0.00011551100760698318,0.00011525533627718688,0.00011166883632540703,0.00012851981255219928,20,0.0001128914300352335,0
npy,1000,1,5,20,2,6.305426359176636e-05,7.07400031387806e-05,6.369594484567642e-05,6.574811413884163e-05,6.488158833235502e-05,6.305426359176636e-05,6.800802684751402e-05,20,6.47595152258873e-05,0
